id,common_name,type,cycle,watering,sunlight,hardiness_min,hardiness_max,soil,growth_rate,maintenance,care_level,drought_tolerant,salt_tolerant,tropical,indoor,poisonous_to_humans,poisonous_to_pets
425,flowering-maple,Broadleaf evergreen,Perennial,Frequent,full sun | part shade,9,10,,Low,Low,Medium,true,false,true,true,false,false
426,flowering-maple,Broadleaf evergreen,Perennial,Average,full sun | part shade,9,10,,Low,Low,Moderate,true,false,false,true,false,false
427,flowering-maple,Broadleaf evergreen,Perennial,Average,full sun | part shade,9,10,,Low,Low,Moderate,true,false,true,true,false,false
428,flowering-maple,Broadleaf evergreen,Perennial,Average,full sun,9,12,,Low,Moderate,Medium,true,true,true,true,false,false
434,Jacob's coat,Broadleaf evergreen,Perennial,Frequent,full sun | part shade,10,11,,Low,Low,Medium,false,false,false,true,false,false
502,hot water plant,Herbs,Herbaceous Perennial,Average,part shade,10,11,,Low,Moderate,Medium,false,false,false,true,false,false
540,desert rose,Broadleaf evergreen,Perennial,Minimum,full sun,11,12,,Low,Low,,true,true,true,true,false,false
543,maidenhair fern,Fern,Perennial,Average,part shade | part sun/part shade,5,8,Clay |  Sand,,Low,Medium,false,false,false,true,false,false
546,delta maidenhair fern,Fern,Perennial,Average,part shade,10,11,,Low,High,Medium,true,false,false,true,false,false
549,urn plant,Epiphyte,Perennial,Average,part sun/part shade,10,11,Well-drained,Low,Moderate,Moderate,true,true,true,true,false,false
551,stalked aeonium,Shrub,Herbaceous Perennial,Average,full sun | part shade,10,11,,Low,Moderate,Medium,true,true,false,true,false,false
552,lipstick plant,Vine,Perennial,Average,part shade | full sun,10,11,,Low,Low,,true,false,true,true,false,false
625,Philippine evergreen,Shrub,Herbaceous Perennial,Average,part shade | full shade,10,12,,Low,Low,Medium,true,true,true,true,false,false
626,Chinese evegreen,Shrub,Herbaceous Perennial,Average,part shade | full shade,10,11,,Low,Low,,true,true,false,true,false,false
627,Chinese evergreen,Shrub,Herbaceous Perennial,Average,part sun/part shade | part shade,10,11,,Low,Low,Medium,true,false,true,true,false,false
628,Chinese evergreen,Shrub,Herbaceous Perennial,Average,part shade | full shade,10,11,,Low,Low,,true,false,true,true,false,false
667,onion,Bulb,Perennial,Average,full sun,5,10,,High,Moderate,Medium,false,true,false,true,false,false
710,elephant's ear,Bulb,Perennial,Average,part shade | part sun/part shade,10,12,,High,Moderate,Medium,true,false,true,true,true,true
711,Amazonian elephant's ear,Bulb,Perennial,Frequent,part shade,10,12,,High,Moderate,High,false,false,true,true,true,true
712,elephant's ear,Bulb,Perennial,Average,part shade,9,11,,High,Moderate,,false,false,true,true,true,true
713,elephant's ear,Bulb,Perennial,Average,full sun | part shade,10,11,,High,Low,High,true,true,true,true,true,true
